But Ive found that windows phone 8.1 file picker does not have access to onedrive and there is no futureaccesslist.,0
This aspect alone prevents any adaptation of my app to the windows phone platform.,0
Please allow windows phone 8.1 file/folder picker to have access to onedrive and store the location in futureaccesslist.,1
"Also, please allow onedrive folder to be stored locally like winrt.",1
"Otherwise, its not a real universal app.",0
All the saved and live data are more,0
So far i have tried three different apps and I cannot access my pre windows phone 8.1 photos.,0
This needs fixing as a number 1 priority.,1
It would be nice to give developers the option put a payment on hold when they reach the appropriate threshold and have the option to put it on top of the next due payment when they reach the threshold after that.,1
in wp8.1 dev preview theres a bug with the push service.,0
"when im on mobile data connection, i get all my notifications, when im on wifi there is no connection to the push server.",0
"no i found a workaround for myself, when i turn off the mobile data connection manually the push over wifi works.",0
"but on wp 8.0 gdr 3, the system recognized automaticly wich connection im using and turn the push service automaticly on cellular or on wifi.",0
"everytime it works, with wp 8.1 dev preview it doesnt.",0
When I try to insert a new Bank Account I receive an error because there is a validation that the Bank Account should be in the same Country of my account.,0
"I think this is not correct, because using Paypal I can receive money in another country but I dont want pay extra costs for Paypal and also i can insert my tax plan in a country different of my country in my account.",0
Please remove that validation or validate according with my tax plan and not my country in the account.,1
: there is another post that I voted because I cant change the country in my account.,0
: there is another post that I voted more,0
I did a report on in app purchases today and noticed that every line item shows an app version of 1.0.0 - which most certainly is not the case.,0
"Make Bing Vision lens in the camera app pinnable to Start for quick access again and/or add it to the Cortana screen, to the left of the Music Search button perhaps.",0
In Windows Phone 8 we were able directly access facebook through the people hub.,0
"Comment on photos, write on walls without having to enter the facebook app.",0
We were also able to switch between text messages and Facebook messages on the fly.,0
Now with WIndows Phone 8.1 the app ALWAYS has to open.,0
On my Lumia 920 it takes significantly longer to do that now.,0
ITS SLOW!!!!,0
Please bring back the simplicity and efficiency of Windows Phone!,1
"While I was building a web application, Ive noticed that single page applications with this url: http://www.contoso.com/!#/ will display blank page and only a refresh will load the page again can you please check that?",1
It would be great if you would add a RemoteId to the calendars.,1
appointments have a RemoteId but calendars dont.,0
It would be easier to sync calendars if they have a RemoteId like appointments.,0
"When the application is unpublished by Microsoft, the reason in sent by email.",0
When the email is not received (like in my case) the developer doesnt know the reason.,0
However this can be easily fixed by writing it in Dev Center.,0
"In WinRT, the TileBrush class is missing the TileMode and View* properties that are present in other frameworks like WPF and Silverlight.",0
Please add these properties so that we can support image tiling properly.,1
There are tons of requests for this over the past years.,0
See this thread for an example: http://social.msdn.microsoft.com/Forums/windowsapps/en-US/bb5aa859-e3d1-46f2-a661-d4bdbee9a1f2/windowsuixamlmediaimagebrush?forum=winappswithcsharp,0
The Lockscreen text attribute should be separated out from Tile attributes.,1
To provide lockscreen text its necessary to use the WideBackContent attribute on the Flip tile.,0
"But - if you have generated a custom tile and/or you dont want the tile to flip, then you cannot use the lockscreen text feature.",0
"Im trying to use the API for Contacts in the namespace Windows.ApplicationModel.Contacts, but it doesnt work as expected.",0
"First of all, on Windows Phone 8.1 I always get an IOException when trying to call PickContactAsync().",0
"This is very strange, since I was expecting to see at least Contacts app to be launched, seems theres some problem establishing the contract.",0
I also checked the Contacts permission was enabled on the Package.appxmanifest.,0
"On Windows 8.1 / RT 8.1 che call to the PickContactAsync() works but I receive wrong data instaed, for example: FirstName and LastName are both in FirstName (and LastName is empty), the ImportantDates (e.g.",0
"Birthday) are always set to low values (like 05/05/0004), but if I try to navigate the contacts through Outlook.com or Contacts/People app I can see the right values.",0
"Maybe Im missing something, but this API seems to be broken.",0
"On Windows 8.1 / RT 8.1 che call to the PickContactAsync() works but I receive wrong data instaed, for example: FirstName and LastName are both in FirstName (and LastName is more",0
"Although it is possible to define custom ETW events, and to generate those events, the publicly available tooling does not currently provide a way to get access to these events.",0
The Windows Phone Developer Power Tools only enable collection of predefined profiles that use certain system events.,0
There appears to be no way to tell it to collect data from your own custom event sources.,0
"So although in, e.g., .NET-based store apps, the System.Diagnostics.Tracing.EventSource class is available and can be used to generate custom ETW events, there doesnt appear to be any point to this at the moment because you cant actually record those events in a trace!",0
"Just to be clear, this is *not* a duplicate of http://wpdev.uservoice.com/forums/110705-dev-platform/suggestions/3743880-please-provide-etw-logging-from-a-windows-phone-8 - as a reply in that thread points out, you can already log ETW events from a WP8 app.",0
"What I want is the ability to record those alongside system-provided ETW events, so that I can see how my codes activity fits in with system behaviour.",1
"So although in, e.g., .NET-based store apps, the System.Diagnostics.Tracing.EventSource class is available and can be used to generate custom ETW events, there doesnt appear to be any point to this at the moment because you more",0
Please get back the old OneDrive integration to windows phone 8.1.,1
It used to sync so fast and was able to view the pictures under photo albums easily.,0
And now the app takes long time to load.,0
The same happened with Facebook integration.,0
It used to be good on 7.8.,0
We could minimize or maximize the pictures but now we can only maximize.,0
I purchased the windows phone because of the smooth integration but now we are slowly moving towards apps and no OS integration.,0
"Microsoft provide a system event SmsReceived for app to be notified when a SMS received, we also need such event for phone call, such as PhoneReveived...",0
"Moreover, its better to have read-only API for phone call history, so developer can help to make better phone call related app like Android.",1
